,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint-Augustin,20,CA,1564372702,83,45.63,-73.98,75.99,2.24
1,Fortuna,0,ES,1564372702,83,38.18,-1.13,73.99,3.36
2,Hobart,75,AU,1564372601,64,-42.88,147.33,48.2,14.99
3,Baracoa,20,CU,1564372702,80,20.35,-74.5,81.23,9.6
4,Pinega,100,RU,1564372702,85,64.7,43.39,45.23,9.57
6,Luderitz,0,NA,1564372702,100,-26.65,15.16,50,14.99
7,College,20,US,1564372703,82,64.86,-147.8,66,6.93
8,Salamiyah,0,SY,1564372703,78,35.01,37.05,67.19,9.04
9,Middelburg,0,NL,1564372703,87,51.5,3.61,63,12.75
10,Mataura,100,NZ,1564372703,91,-46.19,168.86,52,0.89
11,Noyabrsk,58,RU,1564372703,64,63.2,75.45,59.63,14.07
12,New Norfolk,75,AU,1564372436,64,-42.78,147.06,48.2,14.99
13,Ahipara,100,NZ,1564372704,100,-35.17,173.16,63,8.46
14,East London,0,ZA,1564372704,19,-33.02,27.91,75.2,12.75
15,Thompson,90,CA,1564372452,87,55.74,-97.86,53.6,11.41
16,Blagoyevo,100,RU,1564372704,96,63.37,47.92,45.23,12.55
17,Krutinka,41,RU,1564372704,66,56.01,71.51,65.75,10.04
18,Atuona,0,PF,1564372432,77,-9.8,-139.03,80.51,21.81
19,Naze,100,NG,1564372705,96,5.43,7.07,72.05,3.22
20,Bluff,6,AU,1564372705,37,-23.58,149.07,71.51,2.04
22,Hamilton,1,CA,1564372705,83,43.26,-79.87,75.99,2.24
23,Yellowknife,40,CA,1564372705,67,62.45,-114.38,57.2,8.05
24,Valadares,90,BR,1564372706,93,-25.53,-48.5,61,3.36
25,Batemans Bay,100,AU,1564372706,90,-35.71,150.18,55.99,4
26,Vaini,90,IN,1564372412,100,15.34,74.49,73.4,11.41
27,Prabumulih,93,ID,1564372706,60,-3.5,104.19,85.19,4.59
28,Jamestown,89,AU,1564372435,74,-33.21,138.6,55.67,6.24
29,Pevek,100,RU,1564372432,97,69.7,170.27,34.25,18.12
30,Albany,90,US,1564372421,78,42.65,-73.75,75,8.55
31,Saint Anthony,1,US,1564372706,31,43.97,-111.68,77,12.75
32,Qaanaaq,74,GL,1564372707,70,77.48,-69.36,40.01,0.89
33,Joshimath,93,IN,1564372707,79,30.57,79.57,62.51,2.66
34,Rikitea,82,PF,1564372707,83,-23.12,-134.97,70.07,18.97
35,Monrovia,75,LR,1564372433,94,6.33,-10.8,75.2,8.3
36,Weligama,99,LK,1564372707,79,5.97,80.42,81.41,11.72
38,Hasaki,75,JP,1564372470,66,35.73,140.83,97,5.82
39,Ilulissat,25,GL,1564372708,38,69.22,-51.1,59,18.34
40,Talcahuano,90,CL,1564372708,93,-36.72,-73.12,53.6,14.99
41,Torbay,20,CA,1564372582,93,47.66,-52.73,59,12.75
42,Chapais,1,CA,1564372708,93,49.78,-74.86,59,4.7
43,Oga,40,IT,1564372708,100,46.46,10.35,59,1.12
44,Cherskiy,100,RU,1564372709,74,68.75,161.3,44.87,13.13
45,Tiksi,100,RU,1564372709,93,71.64,128.87,36.23,10.74
47,Ushuaia,40,AR,1564372413,59,-54.81,-68.31,37.4,16.11
48,Esperance,75,AU,1564372709,72,-33.86,121.89,59,2.24
49,Port Alfred,0,ZA,1564372709,93,-33.59,26.89,62.01,3
50,Punta Arenas,0,CL,1564372415,74,-53.16,-70.91,35.6,6.93
51,Arraial do Cabo,52,BR,1564372710,88,-22.97,-42.02,68.63,6.51
52,Constitucion,75,MX,1564372710,77,23.99,-104.67,66.99,3.36
53,Sinnamary,49,GF,1564372444,80,5.38,-52.96,80.51,8.23
54,Upernavik,1,GL,1564372710,75,72.79,-56.15,40.73,15.93
55,Narsaq,3,GL,1564372465,53,60.91,-46.05,50,6.93
56,Serdobsk,4,RU,1564372710,88,52.46,44.21,59.09,9.06
57,Georgetown,20,GY,1564372499,94,6.8,-58.16,77,4.7
58,Sakaiminato,75,JP,1564372711,52,35.55,133.23,93.2,5.82
59,Bubaque,100,GW,1564372711,84,11.28,-15.83,77.27,1.34
60,Liverpool,75,GB,1564372711,93,53.41,-2.98,59,6.93
61,Nara,40,JP,1564372711,70,34.68,135.8,97,8.05
62,Nchelenge,62,ZM,1564372711,68,-9.35,28.74,56.21,6.96
63,Mar del Plata,89,AR,1564372428,63,-46.43,-67.52,40.73,12.39
64,Qaqortoq,3,GL,1564372712,53,60.72,-46.03,50,6.93
65,Victoria,75,BN,1564372440,83,5.28,115.24,86,1.12
66,Hermanus,99,ZA,1564372433,97,-34.42,19.24,50,0.94
67,Ballina,100,IE,1564372712,93,54.11,-9.15,57.99,3
68,Puerto Ayora,67,EC,1564372712,96,-0.74,-90.35,68,1.01
69,Vao,0,EE,1564372712,69,59.1,26.19,52.25,6.73
70,Sur,100,OM,1564372496,63,22.57,59.53,83.03,11.32
71,Busselton,0,AU,1564372713,42,-33.64,115.35,63,11.97
72,Teguldet,3,RU,1564372713,56,57.31,88.17,74.03,5.17
73,Hilo,75,US,1564372449,61,19.71,-155.08,82.4,9.17
74,Puerto Madero,90,AR,1564372713,76,-34.61,-58.36,55.4,10.29
75,Portland,40,US,1564372678,94,43.66,-70.25,73.4,2.84
76,Jiehu,77,CN,1564372713,79,35.54,118.45,85.37,7.4
77,Merauke,84,ID,1564372714,80,-8.49,140.4,76.01,17.22
78,Bathsheba,40,BB,1564372714,83,13.22,-59.52,80.6,5.82
79,Honningsvag,75,NO,1564372714,87,70.98,25.97,42.8,17.22
80,Fereydun Kenar,90,IR,1564372714,83,36.69,52.52,75.2,2.24
81,Hami,0,CN,1564372714,16,42.84,93.51,81.23,7.58
82,Pisco,40,PE,1564372715,82,-13.71,-76.2,59,3.36
83,Tuktoyaktuk,40,CA,1564372715,62,69.44,-133.03,55.4,11.41
84,Ewo,25,CG,1564372715,63,-0.88,14.81,75.29,9.42
85,Lodja,4,CD,1564372715,46,-3.52,23.6,68.27,0.89
87,Necochea,0,AR,1564372715,94,-38.55,-58.74,43,8.99
88,Hirado,75,JP,1564372716,94,33.32,129.49,84.2,4.7
89,Charters Towers,60,AU,1564372716,39,-20.07,146.27,74.03,9.48
90,Rundu,0,NA,1564372716,39,-17.91,19.77,48.2,2.24
91,Chokurdakh,100,RU,1564372716,87,70.62,147.9,40.91,9.44
92,Ayan,20,IR,1564372716,68,38.23,44.7,68,2.24
93,Puebloviejo,40,CO,1564372717,58,10.99,-74.28,87.8,4.7
94,Nogliki,100,RU,1564372717,89,51.8,143.14,55.13,10.16
95,Dikson,2,RU,1564372436,84,73.51,80.55,39.65,18.19
97,Severo-Kurilsk,72,RU,1564372717,94,50.68,156.12,48.47,6.46
98,Souillac,0,FR,1564372442,93,45.6,-0.6,55.4,2.24
99,Makushino,96,RU,1564372718,64,55.21,67.25,66.83,10.85
100,Provideniya,90,RU,1564372718,76,64.42,-173.23,53.6,13.42
102,Cayenne,90,GF,1564372718,100,4.94,-52.33,73.4,2.3
103,Atyrau,0,KZ,1564372718,60,47.1,51.92,75.2,13.42
104,Butaritari,100,KI,1564372435,67,3.07,172.79,85.19,7.23
106,Riviere-au-Renard,75,CA,1564372719,88,49,-64.4,68,3.36
107,Kavieng,100,PG,1564372451,91,-2.57,150.8,77.09,11.01
108,Neryungri,0,RU,1564372719,46,56.66,124.71,78.71,3.89
109,Kaitangata,100,NZ,1564372719,83,-46.28,169.85,50,1.99
112,Anju,100,KP,1564372719,87,39.62,125.66,80.69,8.77
113,Shirokiy,91,RU,1564372483,63,53.87,39.17,54,5.01
114,Ostrovnoy,100,RU,1564372720,98,68.05,39.51,41.09,22.75
115,Ucluelet,70,CA,1564372720,89,48.94,-125.55,71.01,1.01
117,Rathkeale,75,IE,1564372720,93,52.52,-8.94,55.4,4.7
118,Ban Nahin,100,LA,1564372720,65,18.24,104.21,86.27,2.48
119,Clyde River,90,CA,1564372429,100,70.47,-68.59,37.4,14.99
120,Cidreira,67,BR,1564372721,83,-30.17,-50.22,57.11,14.47
121,Galesong,20,ID,1564372721,46,-5.32,119.37,89.6,9.17
122,Mount Gambier,75,AU,1564372721,71,-37.83,140.78,55.4,11.41
123,Niquelandia,26,BR,1564372721,58,-14.47,-48.46,65.39,5.66
124,Cairns,40,AU,1564372630,50,-16.92,145.77,79,16.11
125,Lebu,90,ET,1564372721,93,8.96,38.73,57.2,3.36
127,Chernyshevskiy,100,RU,1564372704,50,63.01,112.47,67.73,8.03
128,Saint-Philippe,75,CA,1564372722,88,45.36,-73.48,75.99,4.7
129,Kutum,97,SD,1564372434,71,14.2,24.66,73.31,22.59
130,Pierre,1,US,1564372532,60,44.37,-100.35,72,8.05
131,San Quintin,96,PH,1564372722,68,17.54,120.52,85.01,8.01
132,Port Hardy,40,CA,1564372722,72,50.7,-127.42,60.8,9.17
133,Ponta do Sol,0,BR,1564372723,53,-20.63,-46,58.01,4.94
134,Leh,81,IN,1564372723,67,34.16,77.58,47.93,2.21
135,Muros,75,ES,1564372723,100,42.77,-9.06,64.99,6.93
136,Nikolskoye,20,RU,1564372723,62,59.7,30.79,59,2.24
137,Khatanga,80,RU,1564372723,40,71.98,102.47,62.15,16.78
138,Cape Town,75,ZA,1564372723,93,-33.93,18.42,55,16.11
139,Tasiilaq,100,GL,1564372724,81,65.61,-37.64,44.6,18.34
140,Islamkot,94,PK,1564372724,77,24.7,70.18,84.11,15.73
141,Kodinsk,100,RU,1564372724,37,58.6,99.18,73.67,2.86
142,Nkhotakota,33,MW,1564372724,85,-12.93,34.3,53.69,4.09
143,Rabat,75,MA,1564372724,68,34.02,-6.83,70,5.08
144,Pedasi,83,PA,1564372725,91,7.53,-80.03,75.11,2.06
146,Tanout,97,NE,1564372725,47,14.97,8.88,87.89,12.1
147,Ambilobe,3,MG,1564372725,89,-13.19,49.05,68.81,3.38
148,Kapaa,40,US,1564372431,70,22.08,-159.32,84.2,14.99
149,Kruisfontein,91,ZA,1564372725,47,-34,24.73,58.37,4.72
150,Celestun,9,MX,1564372726,83,20.87,-90.4,78.89,27.22
151,Ribeira Grande,100,PT,1564372445,84,38.52,-28.7,69.17,16.42
153,Hithadhoo,5,MV,1564372726,71,-0.6,73.08,83.03,7.11
154,Tuatapere,100,NZ,1564372712,91,-46.13,167.69,52,2.42
155,Gwanda,0,ZW,1564372726,62,-20.94,29,47.39,3.76
156,Siderno,20,IT,1564372726,69,38.28,16.3,78.8,6.93
157,Kintampo,37,GH,1564372727,96,8.05,-1.73,70.79,7.7
158,Port Elizabeth,1,US,1564372727,74,39.31,-74.98,80.6,8.05
159,Anshun,100,CN,1564372652,92,26.25,105.93,69.17,6.04
160,Hofn,100,IS,1564372726,83,64.25,-15.21,48.47,7.34
161,Castro,90,CL,1564372727,93,-42.48,-73.76,50,12.75
162,Salug,100,PH,1564372727,88,8.11,122.76,77.63,7.49
163,Manaia,28,BR,1564372728,74,-5.02,-39.08,73.49,2.89
164,Mount Isa,51,AU,1564372728,24,-20.73,139.49,80.6,6.93
165,Asyut,0,EG,1564372452,40,27.18,31.19,75.47,5.21
166,Sitka,32,US,1564372474,62,37.17,-99.65,78.01,8.39
167,Half Moon Bay,5,US,1564372728,60,37.46,-122.43,70,9.66
170,Nemuro,75,JP,1564372728,58,43.32,145.57,84.2,10.29
171,Costa Rica,75,MX,1564372729,55,24.59,-107.39,89.6,5.82
172,Azle,40,US,1564372729,58,32.9,-97.55,88,17.22
173,Palmer,20,AU,1564372729,62,-34.85,139.16,61,13.87
174,Leningradskiy,100,RU,1564372729,68,69.38,178.42,49.91,21.34
175,Rio Branco,0,BR,1564372729,100,-9.98,-67.82,66.2,2.19
176,Tripoli,20,GR,1564372730,77,37.51,22.37,75.99,2.44
177,Seoul,75,KR,1564372204,79,37.57,126.98,87.8,3.36
178,Sembakung,100,ID,1564372730,64,3.82,117.25,87.35,0.98
179,Talnakh,40,RU,1564372730,72,69.49,88.39,59,11.18
181,Vardo,40,US,1564372715,94,39.62,-77.74,78.8,3.09
182,Beoumi,75,CI,1564372730,100,7.67,-5.58,73.4,11.41
183,Valkeakoski,0,FI,1564372731,76,61.26,24.03,59,3.36
184,Dodge City,75,US,1564372634,45,37.75,-100.02,84.2,5.82
185,Haverfordwest,88,GB,1564372731,87,51.8,-4.97,60.01,5.82
186,Broome,54,GB,1564372731,100,52.47,1.45,57,8.05
188,Colac,44,AU,1564372731,84,-38.34,143.59,57,1.99
189,Yamada,75,JP,1564372732,63,36.58,137.08,91.4,4.7
190,Arlit,97,NE,1564372732,50,18.74,7.39,85.01,13.51
191,Marrakesh,0,MA,1564372732,68,31.63,-7.99,68,3.36
192,Barrow,4,AR,1564372732,75,-38.31,-60.23,50.09,13.98
193,State College,40,US,1564372520,73,40.79,-77.86,73.4,3.83
194,Manado,20,ID,1564372732,49,1.49,124.85,89.6,4.7
195,Airai,0,TL,1564372733,50,-8.93,125.41,82.13,4.52
197,Flinders,0,AU,1564372733,39,-34.58,150.85,70,10.29
